"國家/地區別","總計","1.活動物；動物產品","2.植物產品","3.動植物油脂","4.調製食品；飲料及菸酒","5.礦產品","6.化學品","7.塑膠、橡膠及其製品","8.毛皮及其製品","9.木及木製品","10.紙漿；紙及其製品；印刷品","11.紡織品","12.鞋、帽及其他飾品","13.非金屬礦物製品","14.珠寶及貴金屬製品","15.基本金屬及其製品","16.機械及電機設備","17.運輸工具","18.光學及精密儀器；鐘錶；樂器","19.其他"
"90年",13031446,655217,139537,3172,113295,95644,421154,622575,52027,88476,64964,363761,61572,129689,19340,836424,7723572,364174,574459,702392
"90年 1月",1213087,46216,8628,301,9440,9962,39680,50267,6236,8030,4957,29480,5375,14455,1851,87283,727541,28959,62186,72242
"90年 2月",1264032,37616,10550,321,8322,14877,38791,51998,4622,7143,4466,28509,5617,13173,1068,78454,796933,26843,65792,68937
"90年 3月",1373729,38924,14005,253,10583,5577,37697,59970,6038,9416,7740,33848,8520,13354,2126,82234,860072,39209,63262,80900
"90年 4月",1157416,50872,15238,241,11186,19378,40434,56805,4631,7935,6128,32738,7234,13023,1256,78573,653659,37612,56278,64195
"90年 5月",1093657,59328,19674,274,9767,3545,39097,51200,4649,7761,6353,31241,5232,10742,1284,70661,649347,27889,41547,54067
"90年 6月",1165897,45994,16624,291,11819,3274,36714,55010,5227,7158,5672,33177,4490,8868,1092,68272,735027,29835,44820,52533
"90年 7月",1010515,49636,15590,367,11682,3041,36974,49670,3760,6358,4341,29328,4553,8533,1459,61687,602517,30192,39478,51349
"90年 8月",881252,66839,9223,145,7242,944,32899,47169,4198,6418,4111,30667,4516,8810,965,62012,490049,25624,34359,45064
"90年 9月",805347,67491,7964,226,7074,2003,28518,45241,3459,5928,4881,26449,3908,9080,1621,54233,429067,26332,36937,44935
"90年 10月",1063398,62207,7109,247,9173,10150,34321,62052,4011,8826,5870,34817,4641,11694,2028,71505,598274,35957,40358,60160
"90年 11月",1004295,66936,7473,263,8388,6579,28156,50162,2633,6870,5669,28223,3812,9030,2003,62365,585801,29608,42692,57630
"90年 12月",998820,63158,7459,245,8619,16316,27871,43031,2564,6633,4775,25284,3675,8928,2588,59144,595285,26114,46750,50379
"91年",12393482,740234,132242,2169,106316,110115,404597,610004,31732,80833,75365,329237,53523,150704,23374,788238,7154891,328704,717544,553656
"91年 1月",983312,61160,8207,206,7276,24412,25537,46221,2247,6713,6567,26334,5387,10822,1763,59387,565633,24193,50423,50825
"91年 2月",884371,39962,4893,256,7134,6532,25965,36313,2153,5309,5541,19540,4746,8422,766,49702,552308,21971,48174,44685
"91年 3月",1147338,52013,12274,219,11085,1589,33702,51894,3067,6974,6218,28253,5961,10671,1531,68328,687550,29994,72843,63171
"91年 4月",1005018,51451,16145,117,11511,2488,35580,49080,2676,6444,7788,28333,5513,11132,1759,64226,575740,26241,61004,47791
"91年 5月",1122673,51632,17052,168,10666,4830,35527,47757,2751,6624,6103,31197,3064,12368,1340,65155,697280,26079,60062,43016
"91年 6月",1156382,54677,13921,191,13166,5022,34840,54251,3132,7290,4624,29397,2651,10714,3325,66633,716893,27607,66554,41495
"91年 7月",1055294,70104,17215,79,9655,2915,34705,55742,2977,6873,5147,28801,4483,11466,2384,72168,591805,30567,66219,41991
"91年 8月",962437,66998,11561,195,6606,2010,31129,53874,2513,6443,5303,26524,4419,14071,1707,61471,535926,26340,68402,36946
"91年 9月",958990,54804,8993,98,6790,2992,34889,55257,2651,7159,6736,25224,4551,14229,2475,70633,532984,29263,55273,43990
"91年 10月",1013343,70615,6750,241,7671,22337,37423,52426,2668,6638,7766,29762,4667,14753,1940,69865,551260,29642,51658,45259
"91年 11月",1059090,79273,7861,212,7673,6451,37842,55870,2402,6819,7296,26645,3714,15939,2063,72088,583680,32556,61143,49561
"91年 12月",1045234,87545,7369,188,7084,28538,37458,51319,2494,7547,6275,29227,4366,16119,2323,68582,563833,24252,55789,44928
"92年",12477122,882996,147641,3666,89065,191133,457904,684305,27658,87726,73326,292958,51806,193654,25796,876819,6897422,359630,620294,513324
"92年 1月",934039,84514,9329,198,5996,8873,28495,51567,2803,6971,5794,25592,5152,14759,1709,73232,482985,27124,50062,48885
"92年 2月",933410,59566,8524,246,4685,20545,33029,49036,1909,6104,4834,20633,4113,12810,1627,62417,539258,22731,39618,41726
"92年 3月",1127384,70904,18892,408,8624,14993,39780,60476,3292,8302,8365,27169,6136,17478,2527,83169,603183,38694,58726,56266
"92年 4月",986258,62754,19538,206,6960,21283,35495,51966,2444,6814,5973,24591,4231,15972,2385,74322,516315,31641,62187,41182
"92年 5月",1033838,68654,19007,388,6737,11586,35270,59006,2184,7757,6014,24147,4097,15119,1457,71893,586709,27825,45509,40479
"92年 6月",1086806,55807,15374,424,6380,9111,46021,64303,2282,6770,5577,26736,3787,17148,2017,79718,614495,31353,58979,40521
"92年 7月",1032329,83728,15946,275,6108,19660,41296,57855,1623,6342,6668,22419,4216,15790,1858,72497,564310,27015,50086,34638
"92年 8月",990454,67619,9240,310,6960,6069,35232,56479,2255,7399,6212,25649,4795,18960,2732,64802,568634,28169,40984,37955
"92年 9月",1012882,88321,7780,323,6929,2908,40033,54979,2392,7462,5113,23247,4245,17546,2011,74516,568647,27790,38750,39890
"92年 10月",1077163,85439,7113,286,8949,3229,42365,61697,1614,8816,5209,25132,3545,18081,2691,74429,600381,35656,49447,43085
"92年 11月",1117952,77566,9061,341,8280,14733,40615,59463,2585,7573,7360,24470,3842,15272,2635,71652,629814,29404,68118,45170
"92年 12月",1144606,78125,7838,261,12457,58144,40273,57478,2275,7415,6207,23173,3647,14719,2146,74172,622692,32230,57828,43527
"93年",13950903,1026300,152169,5564,133389,197713,544279,793771,24794,93170,78072,317743,47011,238382,27660,1133770,7531192,415520,690016,500387
"93年 1月",1054710,66762,10061,235,9230,25810,43915,57696,2087,7724,6755,24648,4120,15716,2590,88931,556898,26562,60091,44878
"93年 2月",1099591,75063,10127,527,10417,2424,45042,60023,1996,6630,6482,25298,4496,17552,2362,82996,609614,32374,61752,44416
"93年 3月",1180322,75796,17110,379,14355,13822,46188,64789,2176,7946,5679,26680,5255,19255,3363,78412,644842,36278,68274,49723
"93年 4月",1122685,59598,18408,328,14101,5222,43359,61312,2099,8363,5680,24204,4163,17145,2127,85717,619044,35449,76369,39996
"93年 5月",1221843,66647,20730,557,17510,26592,48447,66417,2863,7257,7208,29147,4103,17224,2271,91207,669510,34440,67047,42664
"93年 6月",1109471,62298,14544,568,11094,7459,42053,63780,1608,7727,5058,26631,2855,20745,1799,89595,615620,40108,61414,34515
"93年 7月",1221885,90601,16652,456,8293,14706,40710,68561,2239,8750,6802,27430,3943,22346,1844,99741,663522,36054,69820,39414
"93年 8月",1147061,100729,10541,486,6147,5516,39261,65197,1815,7950,7229,24126,4100,21907,2320,98097,622633,37168,54449,37392
"93年 9月",1186669,130553,8167,594,8283,21320,46965,69197,1823,7772,6168,27357,3826,21397,2135,83448,626640,33131,50577,37316
"93年 10月",1182538,94049,7866,461,13244,25006,51188,68845,2307,6874,7158,25190,3851,22267,2341,96530,631722,32879,49260,41501
"93年 11月",1208054,86158,8453,475,11706,24252,52507,76558,1939,8035,6532,29359,3236,22464,2515,118675,637760,35210,36452,45768
"93年 12月",1216074,118046,9511,498,9009,25583,44644,71396,1842,8141,7322,27672,3064,20363,1993,120421,633387,35867,34512,42803
"94年",15246183,989447,138478,5301,90714,343231,751847,895300,26008,72872,77475,330136,43780,213253,37940,1485062,8159908,425421,620032,539978
"94年 1月",1328341,96727,10892,477,7094,77100,60543,78748,2198,6894,7312,32596,3185,22970,2579,136976,635373,46780,45181,54715
"94年 2月",1045550,80295,7601,265,6282,19537,50671,63867,1452,4870,5254,23395,2837,14406,3201,128327,534889,26424,35299,36678
"94年 3月",1280615,56534,14642,657,10513,19137,66550,79315,2211,6537,6457,28545,5246,15284,3556,150459,670076,42880,49656,52360
"94年 4月",1331086,72067,15034,536,9935,61230,59378,83088,1930,5744,7015,28888,4413,15298,3050,133671,701787,36735,43441,47844
"94年 5月",1247597,73360,17547,648,9701,54864,68029,85436,2900,6286,7265,29605,4550,17839,3434,147747,584542,39822,49949,44073
"94年 6月",1165346,75321,14272,416,7351,22272,53775,76057,2091,6161,7025,27280,3818,19850,3012,105565,619561,33082,47945,40491
"94年 7月",1285098,79629,15618,501,4821,21629,62203,81524,2435,6539,6529,25978,4302,16114,3147,131203,693023,38250,49913,41742
"94年 8月",1183410,68804,9305,275,6116,5011,60460,67389,2141,5788,6552,25597,3325,17669,2782,101503,672337,31405,57196,39753
"94年 9月",1280462,79190,9572,335,6949,19331,59043,70472,2124,6430,6775,26461,3982,15876,2941,105805,735183,34708,53932,41353
"94年 10月",1379372,76597,6201,394,8131,7989,69502,76694,2206,6085,7037,30425,3506,22444,3131,129096,779896,35010,66199,48831
"94年 11月",1320959,72693,8159,408,7491,6305,71376,67274,2376,6197,5776,24916,1900,17255,2751,121735,773533,28402,54790,47623
"94年 12月",1398347,158228,9636,388,6331,28825,70318,65435,1945,5340,4478,26449,2716,18248,4355,92975,759709,31924,66531,44516
