國家/地區別,總計,1.活動物；動物產品,2.植物產品,3.動植物油脂,4.調製食品；飲料及菸酒,5.礦產品,6.化學品,7.塑膠、橡膠及其製品,8.毛皮及其製品,9.木及木製品,10.紙漿；紙及其製品；印刷品,11.紡織品,12.鞋、帽及其他飾品,13.非金屬礦物製品,14.珠寶及貴金屬製品,15.基本金屬及其製品,16.機械及電機設備,17.運輸工具,18.光學及精密儀器；鐘錶；樂器,19.其他
90,26105024,17250,27378,4447,383856,158029,3222495,1339231,17309,5358,216959,283927,7494,442842,197452,2191543,13614381,1054401,2686811,233861
90年 1月,2166867,2276,3103,364,30649,18637,267787,102968,1237,329,14869,20059,455,39405,18420,148487,1167876,102732,208424,18790
90年 2月,2427256,1109,2053,414,24210,12110,278575,113293,1680,533,19465,24842,815,49636,12399,192722,1342004,101077,228940,21380
90年 3月,2597419,1192,1752,393,29952,16586,313963,121982,1426,268,20750,29471,1032,51858,18686,202576,1356577,93746,314153,21056
90年 4月,2551185,1083,1600,382,34106,10020,306396,114131,1107,756,21737,26881,916,43194,24584,196368,1402005,86219,256326,23376
90年 5月,2157074,818,1997,540,32209,8298,279016,124921,846,357,18869,22440,549,35990,15485,170398,1146607,75852,202389,19493
90年 6月,2214889,1104,1867,310,30869,28092,253299,118202,889,694,14477,22657,507,40737,9411,181614,1178157,79478,231961,20564
90年 7月,2051747,720,2228,363,29583,17323,240180,102060,739,378,16464,21513,378,31898,11629,191371,1044135,89771,231046,19970
90年 8月,1720155,1201,2022,297,34168,9013,233589,89554,1161,419,13166,21507,598,27345,12234,169524,846501,64918,174758,18179
90年 9月,1829006,1227,2167,207,28298,10917,234806,103128,991,189,18861,21068,745,27195,15903,170527,915634,78757,182927,15459
90年 10月,2446663,2339,3018,386,38240,9462,308636,134905,2300,755,21960,27202,687,36111,19055,200938,1293847,96331,229942,20552
90年 11月,1910179,1753,1696,395,32084,7276,225142,102835,2398,358,19181,20702,392,28640,16322,186070,949419,96561,203362,15594
90年 12月,2032585,2427,3876,395,39489,10294,281106,111254,2536,322,17161,25586,421,30834,23325,180948,971621,88960,222582,19447
91,27609846,20994,36638,4611,392363,134851,3717843,1507227,30045,4886,259685,274968,5990,400166,249631,2564816,13638278,1197389,2904372,265092
91年 1月,1669761,2906,3291,333,27596,8210,214644,74836,2078,317,10835,14814,300,19282,10579,130022,855272,89962,186738,17743
91年 2月,1588835,1354,3262,287,20172,8861,224961,87607,1899,402,12418,16240,246,27166,16332,150325,759107,69490,172316,16389
91年 3月,2464519,924,3595,273,31872,12389,322071,140793,2323,459,23775,25376,824,37347,19100,225772,1204380,97987,290412,24847
91年 4月,2404361,1567,2540,289,32031,8306,339222,146951,2056,375,23742,27210,586,35163,24193,223991,1146334,100223,266869,22715
91年 5月,2197351,1223,2251,411,34821,11089,311665,147503,1861,640,24827,24289,642,36716,21190,198946,1021968,85125,251942,20243
91年 6月,2440077,763,1876,406,33619,11195,337667,139094,2362,254,26249,26831,511,37491,23567,225172,1177274,115671,258031,22043
91年 7月,2662326,2506,2132,359,37160,9607,331369,137591,2164,607,25588,23533,374,42496,20143,259747,1321199,115024,301032,29698
91年 8月,2210813,2146,1757,577,32554,18187,330660,118874,2717,359,20291,21349,684,32273,20260,222745,1037470,81603,246477,19832
91年 9月,2374044,790,2932,375,40306,11908,343271,127743,2608,420,25013,26438,533,33508,23599,231979,1148653,104021,228518,21429
91年 10月,2635995,3033,2957,335,32561,10606,341892,129610,2995,371,24176,24931,569,32479,25185,248756,1367415,112176,251655,24294
91年 11月,2303318,1746,3947,228,34270,8743,293397,120534,3742,330,21256,21132,226,32988,23214,214152,1174950,113027,213876,21558
91年 12月,2658446,2037,6097,737,35400,15751,327025,136090,3239,353,21516,22826,496,33259,22270,233209,1424257,113080,236506,24300
92,33101690,24198,46562,5644,467587,141795,4482653,1688585,32087,4263,277753,279867,5945,553371,347028,3052677,15938182,1576043,3886577,290874
92年 1月,2239816,2117,6474,436,32581,8236,293293,111433,2374,340,17711,20517,388,31465,27808,211206,1130863,115747,200736,26091
92年 2月,2210021,1056,2898,702,31884,13025,304149,111830,2467,399,21405,16776,366,28719,19402,203330,1095820,106754,229475,19567
92年 3月,3029279,1132,3529,596,38631,12581,417298,159714,2837,492,26698,25477,684,44201,24767,297750,1473448,145205,328198,26042
92年 4月,2732515,2315,3573,482,36404,11583,393467,147974,2314,450,25977,24923,659,41271,29148,244779,1329786,150744,262556,24108
92年 5月,2266992,1276,3820,411,37879,8987,322466,128326,2191,354,24533,25971,395,40328,23957,215012,1041508,113288,255346,20943
92年 6月,2652133,1128,2241,322,39896,11251,356878,136619,3155,437,24695,21772,414,47536,26464,272372,1229425,155890,298818,22818
92年 7月,2603610,1020,2544,307,38570,9509,334403,135913,2063,254,22593,18732,440,48140,23855,258920,1266780,128953,287388,23227
92年 8月,2555895,811,2221,363,37131,11717,386446,126654,2481,193,19961,19961,544,45594,30207,243220,1190888,107610,309678,20213
92年 9月,2760727,3248,3100,613,42779,12180,374607,141632,2769,257,22383,25414,604,48201,33217,280692,1310513,122564,315107,20847
92年 10月,3094275,4340,2325,260,41319,10523,414009,150053,2802,385,24768,24484,553,58593,31896,270889,1495322,142254,396149,23350
92年 11月,3453529,3157,4850,487,48871,11667,412667,166014,3262,270,23153,27933,429,58909,37275,277915,1704092,144590,499214,28773
92年 12月,3502900,2597,8988,665,41642,20535,472969,172423,3370,432,23877,27907,470,60413,39032,276592,1669734,142444,503913,34896
93,44323705,16409,49309,4015,563145,178838,6162125,2287013,40427,5293,319562,332109,6431,861671,369767,4116672,20773543,2245667,5684902,306808
93年 1月,2801930,1547,7254,266,47046,9338,409993,138252,1798,447,18494,19369,348,51073,28451,249436,1263412,190217,343796,21393
93年 2月,3551734,1193,3380,391,37719,16130,495956,190175,2644,540,27558,24338,604,68351,27770,311793,1667619,165300,483910,26364
93年 3月,3948944,619,4491,455,46554,16165,541277,204510,2854,727,29265,30361,592,70537,34541,402258,1863270,174020,499069,27378
93年 4月,3543223,820,3147,334,42117,11905,473232,179207,2109,397,27035,29088,806,67683,28396,332587,1633777,184411,500079,26093
93年 5月,3411678,1200,3354,410,53748,12727,506765,194657,4027,434,28007,28288,447,73375,27954,335486,1479171,222435,414847,24347
