"國家/地區別","總計","1.活動物；動物產品","2.植物產品","3.動植物油脂","4.調製食品；飲料及菸酒","5.礦產品","6.化學品","7.塑膠、橡膠及其製品","8.毛皮及其製品","9.木及木製品","10.紙漿；紙及其製品；印刷品","11.紡織品","12.鞋、帽及其他飾品","13.非金屬礦物製品","14.珠寶及貴金屬製品","15.基本金屬及其製品","16.機械及電機設備","17.運輸工具","18.光學及精密儀器；鐘錶；樂器","19.其他"
"90年",33810114,27724,38517,12786,74788,387746,1999804,3601981,595314,60462,437016,4200876,258345,263876,82878,3605720,16423724,354684,973270,410605
"90年 1月",2100090,1584,2621,802,4897,31179,129940,217669,33036,2865,25314,252373,18375,19043,6716,258785,985045,31243,48959,29644
"90年 2月",2657341,1569,2628,1171,4249,22446,156056,337054,35801,4731,38197,329618,20430,24742,3931,317468,1229213,32086,57918,38035
"90年 3月",3105788,1894,3301,945,5953,27729,181539,326264,59462,6581,43503,408442,26968,25859,8984,326176,1506279,30846,73794,41271
"90年 4月",3000218,1961,3367,1002,6369,45341,178048,316537,67000,4701,38593,416364,25604,22219,3991,318564,1407135,35229,68786,39408
"90年 5月",2799883,2978,3494,950,7138,30305,160801,303641,61509,4629,37471,410800,21788,22235,5067,297083,1290830,29693,72210,37260
"90年 6月",2822072,2407,3625,955,6972,52551,180668,300664,64078,5474,39571,396330,21193,21169,8222,297622,1275788,31545,80932,32305
"90年 7月",2682693,1320,2931,1095,7197,23065,154124,296693,53871,4797,37281,336484,19561,20316,6440,290663,1272533,22991,100359,30973
"90年 8月",2786214,1818,3099,1192,6546,28421,167039,333451,45256,4800,35275,333824,18304,24824,6902,301439,1310413,40154,91848,31609
"90年 9月",2623560,2071,3669,1298,6056,34260,160058,285728,41418,4776,32128,281846,16997,19938,6413,288658,1308034,22618,81381,26213
"90年 10月",3236417,4355,3095,1068,7278,44182,204218,334554,44294,5892,37102,359119,23018,25558,8553,326707,1646468,22541,103944,34471
"90年 11月",2935731,2957,3130,1197,5468,33440,155469,268826,42244,5538,36082,347032,23218,20125,9108,286391,1550748,22071,90197,32488
"90年 12月",3060108,2811,3556,1112,6666,14827,171841,280900,47345,5677,36498,328644,22890,17849,8551,296164,1641238,33666,102943,36930
"91年",43739201,26299,39213,15493,75938,367696,2504976,4215123,591242,59334,497357,4239675,226019,277541,72433,4613316,23287693,316013,1846102,467738
"91年 1月",3072692,2261,3291,1545,6064,23701,174104,315727,33022,5225,35254,273847,17727,21047,12270,334237,1659008,26397,93576,34391
"91年 2月",2246998,1561,1803,735,3769,17666,114505,216806,22900,2860,21286,199435,13436,16826,4782,221999,1274839,13673,75602,22515
"91年 3月",3763258,2132,4303,1560,6466,27409,194858,395686,52402,5976,44223,394214,23139,24652,4211,428458,1940999,29332,142718,40522
"91年 4月",3574918,2282,3451,1317,5956,30666,193077,358171,60837,4893,40740,395212,20123,25206,6662,352133,1894801,21183,119233,38976
"91年 5月",3656636,2609,3380,1345,6183,26641,195277,340133,61075,5430,49170,405899,20217,24522,7926,372374,1921739,29099,144056,39561
"91年 6月",3705007,2319,3352,998,6250,30629,180833,356352,60730,4577,49472,391007,19726,25799,5754,417323,1899472,26869,181649,41897
"91年 7月",3678704,2320,3042,1096,8226,20618,203176,359585,56451,4611,46536,367370,20033,25874,6889,385163,1919166,29078,177700,41771
"91年 8月",3796994,2522,2817,1310,6350,17887,257622,390840,48250,4301,44999,347731,16972,23267,4278,404147,1991506,26209,167570,38414
"91年 9月",3979133,2050,3808,1504,6405,38924,256182,346143,50744,4823,37831,362175,18000,23506,6728,380863,2196604,28203,173385,41254
"91年 10月",4028627,1759,3330,1159,6548,38522,245305,383234,49940,5060,45279,378285,20022,22359,4366,386092,2164033,28812,202202,42320
"91年 11月",4074157,2185,2530,1315,5596,51082,244014,385126,46699,5402,41103,381554,19996,20532,3694,443733,2170016,26635,179341,43603
"91年 12月",4162077,2299,4106,1610,8125,43951,246024,367321,48193,6177,41464,342945,16628,23951,4874,486794,2255510,30523,189069,42514
