"幣別","按美元計算(百萬美元)/ 總計","按美元計算(百萬美元)/ 1.活動物；動物產品","按美元計算(百萬美元)/ 2.植物產品","按美元計算(百萬美元)/ (1)食用蔬菜","按美元計算(百萬美元)/ (2)食用果實及堅果","按美元計算(百萬美元)/ 3.動植物油脂","按美元計算(百萬美元)/ (1)調製食品","按美元計算(百萬美元)/ (3)菸及菸葉代用品","按美元計算(百萬美元)/ (1)有機化學品","按美元計算(百萬美元)/ 7.塑膠、橡膠及其製品","按美元計算(百萬美元)/ (1)塑膠原料","按美元計算(百萬美元)/ (2)塑膠製品","按美元計算(百萬美元)/ 8.毛皮及其製品","按美元計算(百萬美元)/ 9.木及木製品","按美元計算(百萬美元)/ 10.紙漿；紙及其製品；印刷品","按美元計算(百萬美元)/ 11.紡織品","按美元計算(百萬美元)/ 13.非金屬礦物製品","按美元計算(百萬美元)/ 14.珠寶及貴金屬製品","按美元計算(百萬美元)/ 15.基本金屬及其製品","按美元計算(百萬美元)/ (1)鋼鐵及其製品","按美元計算(百萬美元)/ (2)其他基本金屬及其製品","按美元計算(百萬美元)/ (1)電子零組件","按美元計算(百萬美元)/ (2)機械","按美元計算(百萬美元)/ (4)資通與視聽產品"
"90年",126608.592,1180.691,276.171,75.12,30.176,31.922,378.778,5.862,1549.812,8025.512,3528.615,3457.442,1001.897,330.353,950.589,12646.779,892.457,157.343,11360.824,6890.602,4470.222,21070.237,10095.668,31388.892
"90年 1月",10064.663,83.655,16.356,4.764,1.771,2.185,25.823,0.451,123.506,579.147,241.137,264.596,65.17,25.386,59.588,893.818,80.888,13.563,988.908,604.905,384.002,2020.548,847.922,2195.441
"90年 2月",10389.157,74.833,19.933,6.643,0.983,2.579,25.194,0.32,118.59,692.113,341.029,270.432,65.123,24.817,75.777,928.074,78.362,8.552,923.307,571.59,351.717,2026.131,766.976,2533.517
"90年 3月",12003.917,88.746,24.503,9.329,1.844,2.309,33.871,0.446,133.077,739.888,316.574,330.479,95.966,30.46,90.731,1166.748,82.938,16.146,1025.172,606.369,418.803,2017.359,923.267,3169.032
"90年 4月",11152.057,116.825,26.718,9.618,3.193,2.727,37.258,0.439,131.943,713.572,310.293,306.888,109.88,30.306,84.834,1194.123,78.376,9.159,1008.749,624.393,384.355,1750.065,936.279,2649.066
"90年 5月",10406.649,108.741,31.924,9.501,7.044,2.425,35.182,1.027,141.115,686.75,298.957,296.003,101.873,28.251,85.358,1195.069,72.784,10.128,958.43,582.491,375.939,1633.433,843.529,2391.574
"90年 6月",10609.009,98.088,28.088,7.186,6.187,2.52,42.392,0.518,148.242,679.312,291.344,296.284,101.24,28.55,85.099,1200.001,72,13.932,933.755,566.332,367.423,1609.709,827.009,2639.662
"90年 7月",10023.783,88.428,29.529,7.757,4.634,2.807,34.974,0.284,126.848,655.643,287.312,280.054,84.361,27.104,78.674,1082.726,67.707,12.594,915.298,557.312,357.985,1496.557,821.921,2513.218
"90年 8月",9773.224,101.399,18.638,7.036,0.69,2.651,28.782,0.179,121.395,692.842,326.308,281.314,73.713,29.127,77.203,1065.234,75.749,15.168,925.31,552.774,372.535,1498.342,784.625,2261.318
"90年 9月",9138.493,102.743,19.025,3.79,0.875,2.586,24.117,0.18,123.087,606.912,274.762,250.874,71.522,24.281,68.279,910.76,66.155,11.931,862.076,527.069,335.007,1544.074,726.788,2146.957
