"幣別","按美元計算(百萬美元)/ 總計","按美元計算(百萬美元)/ 1.活動物；動物產品","按美元計算(百萬美元)/ 2.植物產品","按美元計算(百萬美元)/ 3.動植物油脂","按美元計算(百萬美元)/ 4.調製食品；飲料及菸酒","按美元計算(百萬美元)/ 5.礦產品","按美元計算(百萬美元)/ 6.化學品","按美元計算(百萬美元)/ 7.塑膠、橡膠及其製品","按美元計算(百萬美元)/ 8.毛皮及其製品","按美元計算(百萬美元)/ 9.木及木製品","按美元計算(百萬美元)/ 10.紙漿；紙及其製品；印刷品","按美元計算(百萬美元)/ 11.紡織品","按美元計算(百萬美元)/ 12.鞋、帽及其他飾品","按美元計算(百萬美元)/ 13.非金屬礦物製品","按美元計算(百萬美元)/ 14.珠寶及貴金屬製品","按美元計算(百萬美元)/ 15.基本金屬及其製品","按美元計算(百萬美元)/ 16.機械及電機設備","按美元計算(百萬美元)/ 17.運輸工具","按美元計算(百萬美元)/ 18.光學及精密儀器；鐘錶；樂器","按美元計算(百萬美元)/ 19.其他"
"90年",109585.639,828.345,1991.304,132.964,2108.509,12796.39,10361.494,3431.809,707.08,849.639,1800.871,2400.794,252.001,984.005,979.454,7872.07,48268.307,5289.576,6296.737,2234.287
"90年 1月",9485.763,83.83,168.309,12.209,180.949,1160.551,852.683,272.583,57.176,77.757,148.165,161.425,18.571,85.197,99.842,691.621,4269.163,389.725,563.383,192.623
"90年 2月",9270.266,59.135,175.556,12.135,159.431,920.923,871.764,278.332,55.367,67.731,167.641,198.38,17.697,99.025,147.623,657.262,4316.638,304.167,521.582,239.876
"90年 3月",10209.773,71.734,135.683,9.699,165.456,1120.203,941.368,313.245,68.458,81.778,165.381,245.698,25.412,98.337,118.747,752.759,4466.397,652.776,611.706,164.935
"90年 4月",10720.892,76.028,187.52,11.597,196.459,1371.68,953.222,289.506,66.513,78.178,168.161,243.902,24.116,94.069,89.086,755.957,4782.226,549.845,588.893,193.933
"90年 5月",9132.028,74.342,194.277,9.868,175.782,1023.03,882.05,308.502,66.971,85.767,168.554,209.64,19.24,81.814,62.43,715.696,3868.335,410.342,511.436,263.951
"90年 6月",8840.629,66.606,157.278,11.146,162.637,1085.078,803.105,283.831,65.245,60.055,144.24,169.098,17.342,82.641,49.103,711.207,3754.267,540.577,525.425,151.748
"90年 7月",9384.078,75.669,171.454,9.962,163.448,1258.176,864.458,283.787,75.081,69.518,157.765,184.526,20.147,77.57,48.409,669.385,3810.479,687.957,576.824,179.462
"90年 8月",7862.127,63.693,145.986,11.165,173.966,987.517,788.883,254.192,59.189,67.776,136.69,191.978,23.612,72.971,47.451,566.463,3433.235,278.487,406.986,151.886
"90年 9月",7926.817,49.741,154.948,10.827,152.131,1203.322,787.288,252.727,47.674,60.775,128.478,175.718,17.651,64.978,62.465,492.155,3430.638,272.896,433.318,129.087
"90年 10月",9918.326,76.937,199.66,14.162,196.29,978.54,1000.729,349.042,56.869,74.542,153.113,244.436,26.803,89.508,99.783,656.891,4616.243,331.967,567.218,185.593
"90年 11月",8136.985,64.535,153.921,9.925,166.236,765.108,740.805,260.775,40.977,57.33,124.295,172.695,19.021,64.809,75.683,551.535,3620.127,568.814,469.725,210.669
"90年 12月",8697.956,66.093,146.712,10.27,215.723,922.262,875.139,285.287,47.56,68.434,138.388,203.298,22.388,73.086,78.829,651.14,3900.558,302.022,520.241,170.525
"91年",115112.835,875.991,2085.594,161.897,2085.607,12655.934,11505.039,3768.25,701.365,914.831,1725.944,2509.948,266.162,997.308,847.009,9278.108,50894.115,4603.343,6724.485,2511.905
"91年 1月",7560.318,80.511,173.965,13.144,171.956,762.473,700.428,173.59,44.514,49.165,78.195,130.029,16.388,59.118,50.552,444.634,3670.353,325.221,430.765,185.317
"91年 2月",6699.739,54.619,161.131,8.033,131.944,569.009,653.466,209.869,36.566,56.572,94.363,132.139,13.961,62.821,54.507,500.043,3000.092,378.658,335.08,246.866
"91年 3月",10394.696,70.454,155.257,10.481,163.287,1098.433,980.11,367.654,55.194,83.556,181.522,256.555,26.399,87.486,76.315,774.979,4744.387,494.71,626.374,141.543
"91年 4月",9958.519,76.163,162.478,16.424,172.576,1052.847,1031.352,365.346,61.421,79.774,172.864,259.43,22.904,85.429,75.525,823.156,4415.197,327.956,585.102,172.577
"91年 5月",9661.651,73.743,176.009,15.907,176.35,1053.646,1032.389,380.402,59.739,86.813,166.186,236.384,21.854,87.719,66.224,809.367,4111.458,322.918,551.711,232.833
"91年 6月",9842.742,72.534,155.469,11.108,175.909,1017.13,1052.278,349.289,62.199,88.428,162.237,212.895,18.368,87.815,71.725,762.42,4386.507,363.263,619.571,173.597
"91年 7月",10862.458,73.972,167.79,18.504,184.412,989.156,1085.008,349.227,71.411,91.501,178.509,213.663,26.585,96.528,79.452,936.261,4796.416,588.342,725.674,190.048
"91年 8月",9304.543,62.343,174.173,12.386,182.783,1145.686,985.593,296.749,65.563,82.58,146.069,198.802,22.863,79.548,60.796,871.923,3857.236,265.566,590.537,203.348
"91年 9月",10755.365,76.986,196.045,10.59,190.031,1687.99,990.061,319.491,60.164,77.082,141.564,227.182,26.691,88.242,76.616,845.569,4457.518,473.654,562.199,247.69
"91年 10月",10408.995,82.772,137.075,10.633,164.11,1343.598,1030.544,320.678,51.542,70.186,141.222,231.132,23.824,87.431,83.246,904.748,4616.049,324.402,615.927,169.877
"91年 11月",9565.528,71.116,196.177,18.105,171.942,1076.727,937.346,299.669,62.774,72.314,128.364,199.565,21.195,84.972,66.502,785.175,4168.626,390.969,520.728,293.263
"91年 12月",10098.28,80.779,230.026,16.582,200.307,859.239,1026.464,336.287,70.277,76.861,134.848,212.173,25.131,90.199,85.548,819.833,4670.277,347.685,560.818,254.946
"92年",130244.108,960.478,2388.294,192.108,2342.04,16392.498,13727.336,4173.957,793.955,975.259,1948.098,2437.112,311.152,1243.671,1027.134,11415.627,53847.272,5087.125,8777.12,2203.871
"92年 1月",9722.906,89.795,221.588,14.623,193.205,1327.942,953.858,301.228,62.135,82.963,149.63,191.121,27.693,82.655,71.511,860.552,4067.526,363.127,442.886,218.867
"92年 2月",8645.389,60.001,143.579,10.859,142.35,1184.686,928.221,278.332,51.68,60.827,134.974,167.257,17.349,69.978,52.231,752.525,3699.532,301.868,478.446,110.695
"92年 3月",11189.598,83.336,192.023,18.643,208.57,1187.267,1315.492,393.903,72.488,95.224,185.039,247.951,30.884,109.645,80.728,1035.512,4631.443,414.492,709.889,177.068
"92年 4月",10680.543,81.128,190.467,14.516,185.016,1420.422,1246.919,364.013,73.489,91.473,187.956,215.57,25.154,93.816,93.24,970.686,4252.744,398.444,607.111,168.379
"92年 5月",9755.783,80.464,187.824,20.007,182.461,1448.248,1042.505,334.851,67.42,84.548,164.173,233.935,23.264,101.294,69.66,896.529,3619.31,407.58,606.54,185.17
"92年 6月",10548.033,72.972,227.601,13.658,194.852,1440.408,1084.116,367.177,64.753,74.518,171.354,187.436,22.197,109.641,72.688,947.104,4258.752,386.948,702.703,149.154
"92年 7月",10603.342,65.089,181.413,19.387,201.429,1141.537,1106.552,334.944,71.387,79.531,162.43,174.03,22.949,100.572,72.144,915.795,4446.787,606.136,676.524,224.704
"92年 8月",10624.259,70.894,195.498,13.15,200.386,1253.573,1177.244,312.986,64.85,80.505,150.249,186.86,26.605,98.069,81.98,940.157,4413.278,462.716,722.956,172.303
"92年 9月",11214.219,92.006,175.774,18.802,199.628,1510.91,1157.29,344.378,66.203,75.989,158.589,194.916,27.701,107.788,94.341,992.927,4644.957,347.835,824.534,179.652
"92年 10月",11137.756,86.231,173.217,19.234,186.298,921.519,1229.846,366.216,64.813,78.574,169.642,208.381,26.68,118.755,104.84,1010.067,4919.364,379.519,888.11,186.451
"92年 11月",12665.025,84.683,212.053,16.281,214.847,1663.238,1203.931,384.712,65.518,88.457,155.947,209.994,27.446,117.841,113.288,998.541,5423.142,439.903,1032.336,212.867
"92年 12月",13457.255,93.881,287.258,12.95,232.999,1892.748,1281.361,391.217,69.219,82.648,158.115,219.661,33.229,133.617,120.483,1095.231,5470.438,578.557,1085.083,218.56
"93年",171547.039,1054.916,2674.967,235.273,2652.185,23041.138,17932.521,5527.973,870.806,1247.493,2214.988,2722.143,383.911,1791.588,1455.354,18599.038,67438.933,6509.736,12762.798,2431.28
"93年 1月",10831.162,87.086,216.305,16.598,213.816,1052.32,1173.228,327.221,56.511,77.195,143.696,179.688,26.802,122.135,98.265,1118.882,4530.036,439.134,785.569,166.677
"93年 2月",13439.584,82.359,213.726,19.604,173.577,1996.05,1409.083,438.978,67.372,95.396,183.957,210.925,23.743,135.953,121.381,1277.391,5309.361,431.744,1075.752,173.233
"93年 3月",14411.816,98.065,242.571,14.36,225.153,1423.706,1559.811,481.161,80.141,117.659,195.068,251.642,37.423,157.619,120.712,1597.245,5981.711,470.181,1135.326,222.26
"93年 4月",13410.514,91.984,242.436,18.304,204.656,1609.061,1326.048,425.531,72.137,104.298,178.392,228.915,29.159,135.345,112.388,1696.629,5229.214,451.128,1054.948,199.941
"93年 5月",14837.113,96.209,275.803,34.132,235.303,2023.313,1532.581,480.495,77.061,128.017,212.378,238.186,28.574,166.054,132.853,1686.621,5494.392,738.646,1041.183,215.311
"93年 6月",14949.562,82.806,239.068,33.454,234.558,2275.286,1405.735,474.258,81.725,101.598,187.684,202.644,31.895,145.425,126.246,1696.316,5571.013,742.084,1117.098,200.67
"93年 7月",14066.224,76.821,247.366,16.53,215.757,1866.663,1420.107,447.622,70.085,115.746,199.935,208.702,31.803,151.889,101.371,1590.092,5491.874,560.03,1058.7,195.132
"93年 8月",14177.496,86.277,217.749,22.293,230.995,1791.479,1510.687,469.89,77.04,103.841,189.131,240.849,34.823,150.658,112.816,1614.787,5717.127,369.297,1021.287,216.469
"93年 9月",14494.258,83.344,164.546,11.835,220.422,2312.952,1517.107,446.93,66.45,108.091,182.98,223.239,34.505,146.077,92.85,1409.998,5789.215,471.616,1024.106,187.998
"93年 10月",15352.556,102.121,195.154,17.495,223.342,2072.248,1700.425,504.768,73.212,105.482,176.068,252.866,34.528,155.466,132.465,1623.854,6261.488,456.337,1072.966,192.272
"93年 11月",15273.857,82.838,191.084,15.069,234.2,1748.013,1662.896,527.382,73.145,105.706,184.355,255.746,36.264,160.665,149.991,1660.728,6247.921,512.065,1198.221,227.567
"93年 12月",16302.896,85.006,229.16,15.6,240.408,2870.048,1714.813,503.737,75.927,84.464,181.344,228.742,34.39,164.303,154.016,1626.495,5815.58,867.473,1177.64,233.752
"94年",185430.191,1202.813,2767.755,230.248,3004.289,29950.124,19861.366,6204.476,887.371,1241.179,2272.991,2643.737,434.419,2160.413,1764.701,18937.33,69459.567,8061.459,11513.09,2832.861
"94年 1月",15824.083,108.38,289.641,18.549,281.663,2031.851,1717.47,513.349,75.043,128.532,198.097,254.944,42.718,179.592,158.62,1689.732,6021.864,847.798,1020.721,245.521
"94年 2月",11147.556,69.37,161.22,19.285,197.228,1431.781,1260.408,375.725,56.12,74.053,149.423,165.777,21.97,125.31,80.856,1287.926,4456.431,429.022,626.457,159.193
"94年 3月",16508.566,105.028,206.067,18.92,260.945,2515.293,1801.257,551.535,79.08,116.266,210.876,257.23,39.119,155.905,149.569,1806.246,6288.568,709.173,984.902,252.588
"94年 4月",15876.275,97.256,243.005,15.646,233.184,2667.65,1733.627,496.454,69.881,104.901,184.153,235.11,31.057,151.713,159.056,1809.656,5584.861,743.453,1094.022,221.589
