"國家/地區別","總計","1.活動物；動物產品","2.植物產品","3.動植物油脂","4.調製食品；飲料及菸酒","5.礦產品","6.化學品","7.塑膠、橡膠及其製品","8.毛皮及其製品","9.木及木製品","10.紙漿；紙及其製品；印刷品","11.紡織品","12.鞋、帽及其他飾品","13.非金屬礦物製品","14.珠寶及貴金屬製品","15.基本金屬及其製品","16.機械及電機設備","17.運輸工具","18.光學及精密儀器；鐘錶；樂器","19.其他"
"90年",7833398,39506,92192,2174,31704,629563,454924,133346,91372,96169,107384,484022,87602,55790,215939,773324,3785736,113568,243707,395376
"90年 1月",632331,4012,8828,158,2297,37423,32956,9588,7336,10431,11196,30361,8004,4509,22163,68090,302910,12826,18566,40679
"90年 2月",522983,2479,5603,188,1600,31559,26611,8461,4649,6494,6926,30682,5379,3565,24362,51791,262911,8835,15963,24925
"90年 3月",722968,2278,7587,96,2858,48508,40432,11411,8412,9687,6971,47308,7673,4597,27237,83035,345451,12902,20113,36411
"90年 4月",761867,4577,6536,220,2824,53718,38233,10690,11326,8569,7887,47124,7660,5683,23583,106232,355491,9081,23662,38770
"90年 5月",654946,4442,6837,183,2639,53430,36024,12575,9302,9609,11481,40795,7225,4959,13622,71009,305644,7372,20917,36880
"90年 6月",587474,3398,7976,137,2616,57223,34795,12372,6771,5810,9153,32127,6331,4966,13017,66313,265168,7667,20790,30843
"90年 7月",613288,6337,8109,223,2717,64542,37498,13246,8594,7489,9626,29557,6763,4629,9003,54120,286433,7597,22513,34292
"90年 8月",619420,3602,6744,304,2554,53536,41743,11589,7101,7733,10895,38909,7515,4222,11690,51389,300004,9416,19065,31408
"90年 9月",572788,1894,6818,92,2356,61993,38184,10328,5453,7876,7837,38741,5739,3659,12900,44806,272281,8813,17783,25236
"90年 10月",794888,2568,8621,179,2900,64709,48063,12830,9830,8057,9725,61161,7939,5113,28937,68412,387864,10742,22938,34298
"90年 11月",651554,2178,8686,149,2758,44593,37684,9011,5519,7759,7812,45200,7571,4777,13383,52534,343372,8700,20758,29109
"90年 12月",698891,1740,9845,246,3585,58330,42702,11245,7078,6655,7874,42057,9801,5111,16043,55593,358208,9615,20638,32526
"91年",9794588,32071,106499,4407,85899,688677,578448,174838,110956,102416,113042,537506,133308,58496,147604,872934,5255145,148634,286699,357010
"91年 1月",611596,1507,10803,310,6157,62788,33360,7182,5269,7131,5645,31374,6347,4471,13992,36681,317657,7911,20725,32283
"91年 2月",495716,1833,6115,87,3698,31014,29874,7072,4391,5477,5673,23511,4542,2800,5350,34396,281820,10429,18165,19467
"91年 3月",848291,1386,7902,349,4508,51148,48927,13966,8144,8929,11940,41540,9472,4594,18107,67686,487072,13173,22966,26482
"91年 4月",842015,2423,8547,584,6557,56335,48585,15049,9758,8108,10792,49436,10634,5962,15276,82391,441757,13921,23974,31925
"91年 5月",788674,2689,5401,489,5691,52134,52803,16047,10254,7214,9881,50879,11504,5276,8501,65232,421436,11355,23013,28875
"91年 6月",818470,1990,7474,610,6993,62191,50268,15733,8796,8349,11394,44791,9802,4953,8318,81515,431673,12461,23191,27967
"91年 7月",840126,1845,6498,366,9389,64475,53838,16000,9608,13674,12490,44185,14327,5036,13690,81919,422417,13102,27173,30094
"91年 8月",822070,2609,6766,297,9177,72638,49777,15142,10626,10892,9111,46028,11077,4247,9752,89759,410948,11821,24407,26995
"91年 9月",900726,3712,7304,337,9197,56292,48552,16194,11824,7544,9773,55752,14038,5097,10134,80982,492860,14134,27024,29975
"91年 10月",920608,3470,8332,272,7633,65063,51704,16166,9544,8841,9736,56431,12381,5332,14353,82279,501076,12576,25689,29730
"91年 11月",915706,4521,14006,261,7280,58428,53479,17598,11384,8123,8674,49318,13467,5172,12173,81071,496444,13526,23749,37033
"91年 12月",990590,4086,17351,445,9619,56172,57281,18687,11356,8132,7932,44259,15716,5557,17958,89022,549985,14225,26622,36185
"92年",12836165,34109,114178,8280,113264,872559,759217,245470,155264,115698,148735,549078,172798,71461,183487,1144363,6947792,167722,623908,408783
