"國家/地區別","總計","1.活動物；動物產品","2.植物產品","3.動植物油脂","4.調製食品；飲料及菸酒","5.礦產品","6.化學品","7.塑膠、橡膠及其製品","8.毛皮及其製品","9.木及木製品","10.紙漿；紙及其製品；印刷品","11.紡織品","12.鞋、帽及其他飾品","13.非金屬礦物製品","14.珠寶及貴金屬製品","15.基本金屬及其製品","16.機械及電機設備","17.運輸工具","18.光學及精密儀器；鐘錶；樂器","19.其他"
"90年",19088599,135669,1403995,17563,358535,136183,2020737,656267,293501,67225,319042,228725,4183,112204,102931,461445,7979964,2245116,1640380,904935
"90年 1月",1846976,14949,115384,1453,34673,9370,190629,59544,22911,8459,26502,13736,233,10009,16070,44306,901965,164714,146007,66061
"90年 2月",1769570,9325,138425,2449,33743,13130,180209,54728,23895,6663,32132,27245,394,13006,21186,49831,781466,99881,139683,142177
"90年 3月",1877255,13572,93449,1876,30801,9174,162923,57812,25837,6165,25448,21446,628,8031,19466,45536,745558,420327,148615,40591
"90年 4月",1854039,10274,143532,794,31609,8940,174787,52113,25883,6000,28635,25497,349,8438,9870,37122,814542,238855,161780,75018
"90年 5月",1667306,9620,124259,542,31809,8923,173797,54346,28629,6416,24970,19259,352,6912,4168,51347,648152,195295,158248,120262
"90年 6月",1541267,10273,104674,2877,28611,13791,154405,50484,29896,4567,24025,16192,457,6129,3951,30585,630524,239072,143586,47169
"90年 7月",1625326,8755,113513,390,28390,11403,144654,52757,36626,5635,26765,19112,443,7963,3341,38220,652898,262786,135919,75754
"90年 8月",1284449,8378,91756,959,24573,8814,154995,52430,24333,4291,29453,16208,344,9477,4126,31426,565674,86575,118649,51987
"90年 9月",1210381,9052,105853,2618,22722,7523,150731,47727,18351,4715,24384,15882,380,9919,5430,24502,514569,88969,105200,51855
"90年 10月",1631956,15412,151837,685,31710,24950,220343,69899,21041,4231,27148,21960,201,16049,5367,40030,662876,96674,156054,65489
"90年 11月",1454795,12854,116016,2387,28780,7737,135285,49664,15368,5261,24554,13808,232,8123,5179,27749,523944,262758,99245,115849
"90年 12月",1325278,13206,105294,532,31115,12428,177978,54761,20732,4822,25023,18379,170,8149,4776,40789,537795,89209,127396,52724
"91年",19020666,155617,1388193,25832,348701,104896,2031921,665913,266547,66516,317846,224875,2890,173071,65927,427494,8313051,1870047,1631288,940041
"91年 1月",1261484,15715,123143,3047,30148,5967,114194,28710,17230,3028,15680,10589,124,11385,3959,23510,588729,103178,103296,59851
"91年 2月",1212100,9118,123172,1091,31832,6938,115332,37987,13664,3761,19859,20274,52,11250,2610,24814,447057,237078,66786,39424
"91年 3月",1685109,12750,99571,1524,27572,9021,162140,73019,21726,7633,33809,32178,305,12940,4703,42735,692583,262354,153770,34775
"91年 4月",1593662,12451,114688,4934,30060,9199,175242,66916,27208,6015,24920,34684,306,10902,5720,40287,726599,96945,152500,54085
"91年 5月",1661610,12520,104053,3647,28443,14513,193736,70253,27964,7859,32306,25577,376,13384,5611,37716,719669,103361,142392,118230
"91年 6月",1677551,10411,103579,2847,26520,10289,218785,63104,25031,5615,28393,19792,334,12802,4795,38453,786848,94954,164370,60630
"91年 7月",2120019,11005,110519,1670,30031,8788,200247,64837,26134,7168,31103,17587,201,15623,8470,40967,992914,338859,154266,59629
"91年 8月",1528048,10290,117321,1832,26532,7741,185743,50863,26266,6195,32081,11690,415,13319,4467,38621,704466,83955,148825,57427
"91年 9月",1811919,15053,135883,2386,25401,9101,160222,53066,21226,5307,29753,13971,166,18411,8820,35600,746228,240516,159016,131794
"91年 10月",1444905,15225,74475,1048,23190,6603,163414,48353,14156,4082,21289,10487,257,17819,7411,33403,747947,90600,126203,38943
"91年 11月",1513688,14214,135044,1009,30159,8110,156632,49112,20577,4209,22628,13842,167,16017,5110,37373,576058,117387,132172,173867
"91年 12月",1510572,16865,146745,797,38812,8626,186235,59692,25365,5644,26025,14202,186,19218,4250,34016,583951,100860,127691,111389
"92年",17790159,208001,1536528,22465,372985,108636,2564920,722669,253150,64246,350267,250812,2510,233905,69664,509587,6743367,1615152,1489577,671717
"92年 1月",1393882,23389,159688,2132,30571,8297,164157,52967,21134,6776,31576,20906,416,16577,4987,32014,509539,105014,115795,87947
"92年 2月",1194522,14153,109888,156,25701,7400,171282,57487,21879,4660,29563,24080,174,16025,3459,31750,459976,91659,93332,31897
"92年 3月",1467137,18979,138222,2907,29631,12444,228735,63040,22707,5319,34771,26097,166,26178,5019,42174,529019,110941,119016,51772
"92年 4月",1401828,15532,135600,1291,29454,9388,254743,62683,27397,5706,34596,21630,309,12319,5511,41235,480910,97529,124629,41366
"92年 5月",1283277,14389,104944,7606,35004,7679,192260,55670,21194,7008,27652,35850,187,24967,5410,44338,422893,109452,110025,56749
"92年 6月",1332436,12217,93005,1219,30657,8563,174330,65308,20650,5196,30113,22630,143,19240,4784,46982,548339,97331,118799,32932
"92年 7月",1697536,11974,87797,851,33015,8654,188549,59840,26433,5776,26858,22036,260,18227,5159,56277,692434,241390,116003,96003
"92年 8月",1550599,12958,133685,1193,34485,9652,222277,59358,20105,4203,27317,18374,188,14058,6327,50596,524282,231193,123597,56751
"92年 9月",1411700,17734,98963,2550,31047,8404,250562,57856,20437,5330,27275,14043,316,22419,5840,40680,561352,87811,120981,38097
"92年 10月",1572126,19794,117642,574,28734,11926,261037,67853,20091,4199,27965,13079,167,20642,4717,37899,653278,86626,141027,54877
"92年 11月",1596248,22563,161642,1356,32496,7479,227171,59118,14695,4221,25504,14712,84,18225,8684,42772,646699,107507,132771,68550
"92年 12月",1888869,24321,195452,630,32189,8751,229816,61490,16428,5853,27078,17375,100,25027,9767,42870,714648,248697,173601,54777
"93年",22612090,164272,1616151,9772,384689,208138,3282024,899837,215138,77154,337400,251458,2317,271837,106894,703846,9188829,1832672,2281733,777928
"93年 1月",1522297,17421,141877,222,28067,8146,215830,54324,11456,5065,25827,13939,161,28186,4883,40105,640065,97662,143746,45314
"93年 2月",1743312,13603,160795,511,28161,20800,265023,68297,14805,5651,30225,20893,121,22008,8229,51903,696775,95703,185957,53851
"93年 3月",2058444,15373,174978,366,34945,21583,291182,75677,22449,7853,30000,22754,84,26249,8302,70205,863970,105249,214761,72465
"93年 4月",1841898,16047,152931,1270,28540,32646,220793,70914,21194,7716,29324,26063,382,19547,10330,66731,770945,88038,205944,72542
"93年 5月",2050907,15252,133076,971,33842,29381,292610,83112,15586,9022,29350,26238,296,25549,11451,75203,705432,269787,215692,79057
"93年 6月",1890966,11163,101103,1591,34833,8168,246731,80421,25753,7459,28465,22875,148,22177,9370,59607,715275,259233,188035,68559
"93年 7月",1793302,10220,142743,416,30480,18958,257230,73957,17776,6264,28720,18980,63,20782,7140,50488,763689,106138,178327,60932
"93年 8月",1908152,10739,125977,769,30810,18639,249846,75138,21892,5216,29923,30961,358,24495,8603,55193,844682,86980,203398,84533
"93年 9月",1766431,11627,80201,1014,31634,18134,269611,70784,15953,6039,29442,14467,116,20314,8017,67691,755191,121606,188638,55952
"93年 10月",1973325,16190,98599,790,31162,7039,336759,83928,14886,4868,23691,14945,131,23278,8016,49654,891505,97276,219529,51078
"93年 11月",1944842,13788,137910,272,35073,18221,324666,84305,16563,6042,27915,18580,142,17711,12186,65886,813706,113571,167495,70809
"93年 12月",2118214,12849,165961,1580,37142,6423,311745,78981,16825,5959,24519,20762,314,21540,10368,51179,727593,391429,170211,62834
"94年",21878879,231550,1714000,9596,429773,98622,3093434,917287,196365,69103,334510,229190,2320,335282,155526,709636,8494858,1920108,2050082,887638
"94年 1月",2057662,19330,199865,483,38254,19396,312278,79692,16659,7774,29100,30536,166,31441,9737,48934,743904,253960,161618,54534
"94年 2月",1373803,11267,109814,445,27875,5162,236765,61305,13942,3995,24157,19766,136,19125,6476,43137,544495,82251,107458,56231
"94年 3月",2052292,17311,136333,2246,41720,8582,306245,84400,18484,6471,33205,26227,325,22504,10703,71046,750389,253921,166128,96051
"94年 4月",1909048,16434,129944,258,32711,8335,306392,69412,19253,4576,25809,26204,164,16695,8154,54047,736410,241571,158458,54221
"94年 5月",2228347,27384,168629,1122,35064,7732,245338,87611,17969,9926,28128,20572,214,30675,11863,72914,841257,254641,216590,150718
"94年 6月",1797777,36308,154075,197,37673,7392,242173,78490,16282,5275,25510,22688,118,36139,24478,58313,715832,88738,182809,65287
"94年 7月",1752017,30196,117950,380,33170,6679,288249,79157,19682,5410,28113,14412,199,27993,8726,57300,717462,99020,165116,52804
"94年 8月",1866852,13746,119773,541,35276,6561,253795,80857,13611,3916,30608,16161,97,33556,10698,70778,719456,241048,155986,60388
"94年 9月",1632485,12709,93835,584,29187,6029,264350,75678,13219,4899,28790,16351,205,39023,9050,59370,664379,87902,176856,50066
"94年 10月",1758165,18242,157096,1515,43368,6994,242431,78900,16934,4555,29571,13589,228,30051,12269,64388,699025,104824,178131,56054
"94年 11月",1818011,14941,193262,567,39383,7007,208445,72479,15013,6546,26215,10473,196,22136,23688,49993,758378,111289,211269,46731
"94年 12月",1632419,13681,133424,1257,36094,8751,186972,69305,15317,5759,25303,12210,274,25946,19683,59416,603870,100942,169663,144552
"95年",23839305,273912,1709143,7708,439629,132398,3120803,984907,221374,69619,328314,237407,2700,381267,244927,996052,9718685,2066217,2250136,654108
"95年 1月",1605810,24259,119091,441,38017,6555,218310,75721,14243,5629,26441,16181,189,29813,11583,55213,650491,114138,153899,45594
"95年 2月",1863017,21063,160370,610,38252,9429,288307,85885,16013,5498,27893,15089,182,32526,19026,68155,760336,119790,160179,34416
"95年 3月",1902598,24540,136883,352,42922,6575,236839,77980,19420,7099,26450,22072,248,54474,18382,93499,797215,143282,158065,36301
"95年 4月",1907100,33372,143754,435,37831,48542,268791,75504,17823,6073,27606,26993,387,27919,16505,87130,696273,152569,198337,41255
"95年 5月",1990173,29899,95566,369,38889,7670,263125,85478,21250,6603,31800,22281,480,31422,23144,86882,836598,134191,218189,56336
"95年 6月",1960051,21500,107954,311,29085,6500,253532,80857,21994,5276,31072,25119,238,27156,28585,61485,873425,145766,186618,53578
